MONAT,WERT,VORJAHRESWERT,month_date,LAG_1,LAG_2,LAG_3
200101,66.0,78.0,2001-01-01,85.0,71.0,83.0
200102,49.0,53.0,2001-02-01,66.0,85.0,71.0
200103,63.0,73.0,2001-03-01,49.0,66.0,85.0
200104,68.0,78.0,2001-04-01,63.0,49.0,66.0
200105,85.0,96.0,2001-05-01,68.0,63.0,49.0
200106,68.0,57.0,2001-06-01,85.0,68.0,63.0
200107,71.0,99.0,2001-07-01,68.0,85.0,68.0
200108,60.0,77.0,2001-08-01,71.0,68.0,85.0
200109,107.0,84.0,2001-09-01,60.0,71.0,68.0
200110,77.0,83.0,2001-10-01,107.0,60.0,71.0
200111,68.0,71.0,2001-11-01,77.0,107.0,60.0
200112,66.0,85.0,2001-12-01,68.0,77.0,107.0
200201,44.0,66.0,2002-01-01,66.0,68.0,77.0
200202,49.0,49.0,2002-02-01,44.0,66.0,68.0
200203,61.0,63.0,2002-03-01,49.0,44.0,66.0
200204,65.0,68.0,2002-04-01,61.0,49.0,44.0
200205,58.0,85.0,2002-05-01,65.0,61.0,49.0
200206,74.0,68.0,2002-06-01,58.0,65.0,61.0
200207,84.0,71.0,2002-07-01,74.0,58.0,65.0
200208,71.0,60.0,2002-08-01,84.0,74.0,58.0
200209,107.0,107.0,2002-09-01,71.0,84.0,74.0
200210,83.0,77.0,2002-10-01,107.0,71.0,84.0
200211,44.0,68.0,2002-11-01,83.0,107.0,71.0
200212,63.0,66.0,2002-12-01,44.0,83.0,107.0
200301,55.0,44.0,2003-01-01,63.0,44.0,83.0
200302,44.0,49.0,2003-02-01,55.0,63.0,44.0
200303,53.0,61.0,2003-03-01,44.0,55.0,63.0
200304,50.0,65.0,2003-04-01,53.0,44.0,55.0
200305,65.0,58.0,2003-05-01,50.0,53.0,44.0
200306,82.0,74.0,2003-06-01,65.0,50.0,53.0
200307,76.0,84.0,2003-07-01,82.0,65.0,50.0
200308,66.0,71.0,2003-08-01,76.0,82.0,65.0
200309,63.0,107.0,2003-09-01,66.0,76.0,82.0
200310,74.0,83.0,2003-10-01,63.0,66.0,76.0
200311,44.0,44.0,2003-11-01,74.0,63.0,66.0
200312,58.0,63.0,2003-12-01,44.0,74.0,63.0
200401,42.0,55.0,2004-01-01,58.0,44.0,74.0
200402,48.0,44.0,2004-02-01,42.0,58.0,44.0
200403,44.0,53.0,2004-03-01,48.0,42.0,58.0
200404,37.0,50.0,2004-04-01,44.0,48.0,42.0
200405,55.0,65.0,2004-05-01,37.0,44.0,48.0
200406,58.0,82.0,2004-06-01,55.0,37.0,44.0
200407,67.0,76.0,2004-07-01,58.0,55.0,37.0
200408,58.0,66.0,2004-08-01,67.0,58.0,55.0
200409,79.0,63.0,2004-09-01,58.0,67.0,58.0
200410,68.0,74.0,2004-10-01,79.0,58.0,67.0
200411,51.0,44.0,2004-11-01,68.0,79.0,58.0
200412,52.0,58.0,2004-12-01,51.0,68.0,79.0
200501,48.0,42.0,2005-01-01,52.0,51.0,68.0
200502,40.0,48.0,2005-02-01,48.0,52.0,51.0
200503,40.0,44.0,2005-03-01,40.0,48.0,52.0
200504,40.0,37.0,2005-04-01,40.0,40.0,48.0
200505,48.0,55.0,2005-05-01,40.0,40.0,40.0
200506,57.0,58.0,2005-06-01,48.0,40.0,40.0
200507,63.0,67.0,2005-07-01,57.0,48.0,40.0
200508,48.0,58.0,2005-08-01,63.0,57.0,48.0
200509,76.0,79.0,2005-09-01,48.0,63.0,57.0
200510,57.0,68.0,2005-10-01,76.0,48.0,63.0
200511,42.0,51.0,2005-11-01,57.0,76.0,48.0
200512,41.0,52.0,2005-12-01,42.0,57.0,76.0
200601,44.0,48.0,2006-01-01,41.0,42.0,57.0
200602,50.0,40.0,2006-02-01,44.0,41.0,42.0
200603,40.0,40.0,2006-03-01,50.0,44.0,41.0
200604,40.0,40.0,2006-04-01,40.0,50.0,44.0
200605,53.0,48.0,2006-05-01,40.0,40.0,50.0
200606,51.0,57.0,2006-06-01,53.0,40.0,40.0
200607,64.0,63.0,2006-07-01,51.0,53.0,40.0
200608,48.0,48.0,2006-08-01,64.0,51.0,53.0
200609,64.0,76.0,2006-09-01,48.0,64.0,51.0
200610,45.0,57.0,2006-10-01,64.0,48.0,64.0
200611,48.0,42.0,2006-11-01,45.0,64.0,48.0
200612,52.0,41.0,2006-12-01,48.0,45.0,64.0
200701,36.0,44.0,2007-01-01,52.0,48.0,45.0
200702,32.0,50.0,2007-02-01,36.0,52.0,48.0
200703,38.0,40.0,2007-03-01,32.0,36.0,52.0
200704,49.0,40.0,2007-04-01,38.0,32.0,36.0
200705,63.0,53.0,2007-05-01,49.0,38.0,32.0
200706,51.0,51.0,2007-06-01,63.0,49.0,38.0
200707,65.0,64.0,2007-07-01,51.0,63.0,49.0
200708,44.0,48.0,2007-08-01,65.0,51.0,63.0
200709,54.0,64.0,2007-09-01,44.0,65.0,51.0
200710,55.0,45.0,2007-10-01,54.0,44.0,65.0
200711,36.0,48.0,2007-11-01,55.0,54.0,44.0
200712,37.0,52.0,2007-12-01,36.0,55.0,54.0
200801,32.0,36.0,2008-01-01,37.0,36.0,55.0
200802,30.0,32.0,2008-02-01,32.0,37.0,36.0
200803,30.0,38.0,2008-03-01,30.0,32.0,37.0
200804,25.0,49.0,2008-04-01,30.0,30.0,32.0
200805,57.0,63.0,2008-05-01,25.0,30.0,30.0
200806,56.0,51.0,2008-06-01,57.0,25.0,30.0
200807,52.0,65.0,2008-07-01,56.0,57.0,25.0
200808,44.0,44.0,2008-08-01,52.0,56.0,57.0
200809,49.0,54.0,2008-09-01,44.0,52.0,56.0
200810,45.0,55.0,2008-10-01,49.0,44.0,52.0
